Year,Code,Name,Electric cars sold,Non-electric car sales
2023,MEX,Mexico,16100,1057233
2024,MEX,Mexico,27100,1204718
2011,NLD,Netherlands,877,547248
2012,NLD,Netherlands,5090,503910
2013,NLD,Netherlands,22600,388309
2014,NLD,Netherlands,14700,362223
2015,NLD,Netherlands,15400,424600
2016,NLD,Netherlands,43000,347909
2017,NLD,Netherlands,26000,380250
2018,NLD,Netherlands,27600,417561
2019,NLD,Netherlands,66500,376833
2020,NLD,Netherlands,87000,261000
2021,NLD,Netherlands,94000,230138
2022,NLD,Netherlands,107000,198714
2023,NLD,Netherlands,156000,198545
2024,NLD,Netherlands,182000,197167
2011,NZL,New Zealand,15,68167
2012,NZL,New Zealand,27,81791
2013,NZL,New Zealand,36,87769
2014,NZL,New Zealand,320,93798
2015,NZL,New Zealand,500,82833
2016,NZL,New Zealand,1540,89048
2017,NZL,New Zealand,3440,97736
2018,NZL,New Zealand,5600,108686
2019,NZL,New Zealand,6900,110049
2020,NZL,New Zealand,5400,94600
2021,NZL,New Zealand,10300,125226
2022,NZL,New Zealand,28200,128467
2023,NZL,New Zealand,30000,81111
2024,NZL,New Zealand,9700,78482
2012,NOR,Norway,4220,131909
2013,NOR,Norway,8240,133829
2014,NOR,Norway,21700,122967
2015,NOR,Norway,33900,120191
2016,NOR,Norway,45000,110172
2017,NOR,Norway,62000,96974
2018,NOR,Norway,73000,75980
2019,NOR,Norway,79000,62071
2020,NOR,Norway,106000,35333
2021,NOR,Norway,148000,24093
2022,NOR,Norway,156000,19281
2023,NOR,Norway,110000,12222
2024,NOR,Norway,113500,9870
2010,POL,Poland,16,333317
2012,POL,Poland,48,266619
2013,POL,Poland,37,284578
2014,POL,Poland,201,278966
2015,POL,Poland,220,360436
2016,POL,Poland,510,424490
2017,POL,Poland,1080,489829
2018,POL,Poland,1380,529389
2019,POL,Poland,2700,559800
2020,POL,Poland,8200,423379
2021,POL,Poland,16300,436478
2022,POL,Poland,25000,398729
2023,POL,Poland,30000,438750
2024,POL,Poland,32000,529404
2011,PRT,Portugal,172,156192
2012,PRT,Portugal,84,95371
2013,PRT,Portugal,185,108639
2014,PRT,Portugal,288,143712
2015,PRT,Portugal,1100,176319
2016,PRT,Portugal,1800,205097
2017,PRT,Portugal,4400,227179
2018,PRT,Portugal,8200,219578
2019,PRT,Portugal,12600,212400
2020,PRT,Portugal,19800,132508
2021,PRT,Portugal,29000,116000
2022,PRT,Portugal,34000,120545
2023,PRT,Portugal,63000,133875
2024,PRT,Portugal,70000,142121
2015,KOR,South Korea,3350,1519377
2016,KOR,South Korea,5030,1519212
2017,KOR,South Korea,14670,1513455
2018,KOR,South Korea,59400,1463677
2019,KOR,South Korea,35700,1451800
2020,KOR,South Korea,39700,1548300
2021,KOR,South Korea,91000,1353444
2022,KOR,South Korea,131000,1233583
2023,KOR,South Korea,132000,1385241
2024,KOR,South Korea,127900,1262317
2011,ESP,Spain,398,811847
2012,ESP,Spain,540,709986
2013,ESP,Spain,882,734118
2014,ESP,Spain,1730,908796
2015,ESP,Spain,2080,1037920
2016,ESP,Spain,3500,1203397
2017,ESP,Spain,7400,1314029
2018,ESP,Spain,11600,1420499
2019,ESP,Spain,17400,1321062
2020,ESP,Spain,42000,891333
2021,ESP,Spain,67000,850808
2022,ESP,Spain,82000,839348
2023,ESP,Spain,122000,894667
2024,ESP,Spain,128000,1035636
2012,SWE,Sweden,930,299070
2013,SWE,Sweden,1530,287149
2014,SWE,Sweden,4600,323971
2015,SWE,Sweden,8700,353800
2016,SWE,Sweden,12900,366512
2017,SWE,Sweden,20400,379600
2018,SWE,Sweden,29100,353795
2019,SWE,Sweden,41000,331727
2020,SWE,Sweden,94000,199750
2021,SWE,Sweden,135000,178953
2022,SWE,Sweden,163000,138852
2023,SWE,Sweden,171000,114000
2024,SWE,Sweden,157000,113690
2011,CHE,Switzerland,441,314559
2012,CHE,Switzerland,740,320999
2013,CHE,Switzerland,1370,324820
2014,CHE,Switzerland,2900,305611
2015,CHE,Switzerland,5700,329594
2016,CHE,Switzerland,6100,314953
2017,CHE,Switzerland,8400,314677
2018,CHE,Switzerland,9500,296952
2019,CHE,Switzerland,17300,297245
2020,CHE,Switzerland,34000,208857
2021,CHE,Switzerland,54000,203143
2022,CHE,Switzerland,59000,177000
2023,CHE,Switzerland,76000,177333
2024,CHE,Switzerland,67000,172286
2014,TUR,Turkey,68,566599
2015,TUR,Turkey,230,766437
2016,TUR,Turkey,127,746932
2017,TUR,Turkey,111,739889
2018,TUR,Turkey,235,521987
2019,TUR,Turkey,324,385390
2020,TUR,Turkey,1290,612996
2021,TUR,Turkey,3920,618302
2022,TUR,Turkey,7540,572460
2023,TUR,Turkey,68700,885467
2024,TUR,Turkey,105700,855209
2010,GBR,United Kingdom,261,2007431
2011,GBR,United Kingdom,1207,1945567
2012,GBR,United Kingdom,2570,1974353
2013,GBR,United Kingdom,3700,2308800
2014,GBR,United Kingdom,14500,2443127
2015,GBR,United Kingdom,29000,2607364
2016,GBR,United Kingdom,39000,2746714
2017,GBR,United Kingdom,49000,2529947
2018,GBR,United Kingdom,62000,2322615
2019,GBR,United Kingdom,75000,2197727
2020,GBR,United Kingdom,178000,1440182
2021,GBR,United Kingdom,310000,1321579
2022,GBR,United Kingdom,370000,1238696
2023,GBR,United Kingdom,450000,1425000
2024,GBR,United Kingdom,550000,1414286
2011,USA,United States,17800,11848867
2012,USA,United States,54000,12803143
2013,USA,United States,97000,13564972
2014,USA,United States,118000,15206675
2015,USA,United States,114000,16171714
2016,USA,United States,160000,16001616
2017,USA,United States,194000,14729077
2018,USA,United States,360000,15292174
2019,USA,United States,325000,15151191
2020,USA,United States,294000,12488609
2021,USA,United States,630000,12774255
2022,USA,United States,990000,12388378
2023,USA,United States,1390000,13241579
2024,USA,United States,1520000,13680000
